,CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Latitude,Longitude,FoodDesert
0,6067000100,California,Sacramento,1,3558,1639,0,2,0.0005621,0,0,0,0,0,0,6.8,128015,0,1,0,1,0,0,0,0,2977.536109,0,0,386.4036315,0,2977.536109,0.836856692,386.4036315,0.108601358,578.8279266,0.162683509,573.5650046,0.16120433,2656.211993,0.746546372,10.19605916,0.002865671,113.0129202,0.031763047,7.897163106,0.002219551,11.67747916,0.003282035,178.5404796,0.050180011,280.1015244,0.078724431,89.63442301,0.054688483,4.018660255,0.002451898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,684,685,3159,20,137,9,13,220,351,113,5,38.5777705,-121.432632,0
1,6067000200,California,Sacramento,1,3497,1698,0,47,0.0134401,0,0,0,0,0,0,2.5,110461,0,1,0,1,0,0,0,0,975.0833553,0,0,147.8413853,0,975.0833553,0.278834245,147.8413853,0.042276633,171.1488265,0.048941615,99.60787498,0.028483808,850.6368271,0.243247591,9.321552208,0.002665585,32.53051634,0.009302407,3.939037681,0.001126405,8.582199452,0.002454161,70.07323224,0.020038099,105.1566559,0.030070534,17.27996374,0.010176657,4.992225352,0.002940062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,612,479,3081,36,137,5,24,214,385,40,18,38.5740594,-121.440758,0
2,6067000300,California,Sacramento,1,3103,1499,0,7,0.0022559,0,0,0,0,0,0,7.5,132955,0,1,0,1,0,0,0,0,1313.360949,0,0,198.8114753,0,1313.360949,0.42325522,198.8114753,0.06407073,236.6659138,0.076270033,170.148039,0.0548334,1159.089708,0.373538417,12.50329706,0.004029422,54.00677191,0.017404696,3.99999997,0.001289075,2.794481307,0.000900574,80.96668794,0.026093035,144.8683632,0.04668655,34.26853248,0.022860929,7.806148538,0.005207571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,542,425,2689,36,117,11,10,240,345,146,19,38.5773838,-121.4547432,0
3,6067000400,California,Sacramento,1,3667,2171,0,29,0.0079084,0,0,0,0,1,0,12.3,69722,0,1,0,1,0,0,1,0,1586.953607,0,0,393.61908,0,1586.953607,0.432766187,393.61908,0.1073409,152.5515591,0.041601189,136.9335203,0.037342111,1205.584171,0.328765795,64.29071123,0.017532236,72.54886554,0.019784256,2.396841995,0.000653625,18.19824483,0.004962707,223.9347646,0.061067566,320.4155387,0.087378113,167.3660124,0.077091669,32.35579149,0.014903635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,313,256,2831,167,136,3,50,480,729,282,79,38.5800964,-121.4693603,0
4,6067000500,California,Sacramento,1,3159,1804,0,40,0.0126622,0,1,0,1,1,1,34.9,28125,0,1,0,1,0,0,1,0,2202.784042,0,0,1228.12062,0,2202.784042,0.697304224,1228.12062,0.388768794,237.6538236,0.075230713,145.7652546,0.046142847,1480.949013,0.468803106,108.3165123,0.034288228,139.3149395,0.044100962,17.26275502,0.005464626,54.39603498,0.017219384,402.5447831,0.127427915,573.2079079,0.181452329,317.8626223,0.176198793,176.447995,0.09780931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,330,195,2128,170,178,19,66,598,846,455,265,38.5834331,-121.4823108,0
5,6067000600,California,Sacramento,1,1122,643,0,88,0.0784314,0,1,0,0,0,1,45.9,37250,0,1,0,1,0,0,0,0,426.305592,0,0,239.0036003,0,426.305592,0.379951508,239.0036003,0.213015687,18.32496372,0.01633241,21.01011207,0.01872559,300.5789076,0.26789564,39.41605419,0.035130173,19.45886885,0.01734302,1,0.000891266,12.30666888,0.010968511,53.54508826,0.047722895,85.5341666,0.07623366,69.73556934,0.108453452,49.85536622,0.077535562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,124,96,665,188,44,3,38,184,279,195,122,38.5854811,-121.4916773,0
6,6067000700,California,Sacramento,1,2806,543,1,2144,0.7640769,0,1,0,1,1,1,37.3,21528,0,1,0,1,0,0,1,0,2777.293193,0,0,2310.707961,0,2777.293193,0.989769491,2310.707961,0.823488225,2.108162284,0.000751305,412.0541648,0.146847528,1321.007886,0.470779717,696.8575006,0.24834551,378.5710764,0.134914853,8.999999911,0.003207413,50.99999785,0.018175338,320.856722,0.114346658,605.0188539,0.215616128,351.1240705,0.646637331,77.69124665,0.143077802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,3,415,1346,698,379,9,51,323,607,348,77,38.5818714,-121.5016595,0
7,6067000800,California,Sacramento,1,1425,1001,0,46,0.0322807,0,0,0,0,1,0,14.1,100721,0,1,0,1,0,0,1,0,1424.999951,0,0,340.3547427,0,1424.999951,0.999999966,340.3547427,0.238845433,43.99999924,0.030877192,408.9999886,0.287017536,1081.999995,0.759298242,66.99999963,0.047017544,142.9999993,0.100350877,1,0.000701754,5.99999994,0.004210526,126.0000002,0.088421053,207.9999958,0.145964909,256.6154317,0.256359073,28.98823511,0.028959276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,44,409,1082,67,143,1,6,126,208,283,32,38.5770653,-121.5044795,0
8,6067001101,California,Sacramento,1,2047,1557,0,16,0.0078163,0,1,0,1,1,1,41.3,37500,0,1,0,1,0,0,1,0,627.0452769,0,0,354.5879363,0,627.0452769,0.306324024,354.5879363,0.173223222,54.89652705,0.02681804,38.97690384,0.019040989,415.941639,0.20319572,53.52347341,0.026147276,65.59785891,0.032045852,2,0.00097704,7.116522036,0.003476562,82.86577897,0.040481573,107.6707293,0.052599282,204.1613127,0.131124799,61.13070235,0.039261851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,96,171,1401,192,188,6,21,239,330,642,213,38.5772072,-121.4904629,0
9,6067001200,California,Sacramento,1,3323,2504,0,44,0.013241,0,0,0,0,0,1,23.1,54519,0,0,0,0,0,0,0,0,6.862709314,0,0,2.430950224,0,6.862709314,0.002065215,2.430950224,0.000731553,0.107526056,3.24E-05,0.987003183,0.000297022,5.426794082,0.001633101,0.218838051,6.59E-05,0.936795663,0.000281913,0,0,0,0,0.28028151,8.43E-05,0.483758695,0.000145579,0.757824197,0.000302645,0.114239177,4.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339,121,345,2401,288,252,9,48,325,538,764,65,38.5716422,-121.4870807,0
10,6067001300,California,Sacramento,1,3005,1936,0,68,0.022629,0,0,0,0,0,1,21.5,75313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,170,123,2287,173,179,5,49,312,515,344,143,38.5684782,-121.4745179,0
11,6067001400,California,Sacramento,1,2466,1720,0,97,0.039335,0,0,0,0,0,0,18.2,97344,0,0,0,0,0,0,0,0,0.000692663,0,0,0.000220197,0,0.000692663,2.81E-07,0.000220197,8.93E-08,4.47E-05,1.81E-08,2.23E-05,9.06E-09,0.000603288,2.45E-07,3.35E-05,1.36E-08,0,0,0,0,0,0,5.59E-05,2.27E-08,3.35E-05,1.36E-08,0.000100633,5.85E-08,3.40E-05,1.98E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,123,365,1930,138,108,5,24,261,337,499,137,38.573984,-121.4721306,0
12,6067001500,California,Sacramento,1,4329,2254,0,143,0.033033,0,0,0,0,1,0,6.1,118725,0,1,0,1,0,0,1,0,2316.053739,0,0,496.4903814,0,2316.053739,0.535008949,496.4903814,0.114689393,338.7406636,0.078249172,443.2435329,0.102389358,2022.810281,0.467269642,50.08473686,0.011569586,105.603382,0.024394406,13.03111338,0.00301019,4.854960117,0.001121497,119.6692723,0.02764363,240.795497,0.055623815,117.9882891,0.05234618,18.6491902,0.00827382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,586,687,3734,85,191,21,21,277,485,147,38,38.5674597,-121.4593774,0
13,6067001600,California,Sacramento,1,5421,2633,0,2,0.0003689,0,0,0,0,0,0,9.1,101373,0,1,0,1,0,0,0,0,1453.231955,0,0,215.3498854,0,1453.231955,0.268074517,215.3498854,0.039725122,277.7230948,0.051230971,238.9638422,0.044081137,1293.635999,0.2386342,11.49168516,0.002119846,57.20078411,0.010551703,2.235911518,0.000412454,3.845500177,0.000709371,84.82207855,0.015646943,144.6178546,0.026677339,34.78504235,0.013211182,24.43685734,0.009280994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,944,782,4527,126,240,6,34,488,709,187,100,38.5616628,-121.4396846,0
14,6067001700,California,Sacramento,1,4794,2502,0,6,0.0012516,0,1,0,1,1,1,28.5,90690,0,1,0,1,0,0,1,0,1433.019759,0,0,609.085943,0,1433.019759,0.298919432,609.085943,0.127051719,189.129316,0.039451255,432.6835223,0.090255219,1096.748212,0.22877518,90.66856848,0.018912926,108.2165743,0.022573336,4.493308023,0.000937277,7.88261272,0.001644266,125.0104938,0.026076448,189.2938816,0.039485582,192.2669228,0.076845293,19.95656084,0.007976243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2067,620,857,3464,305,407,12,38,568,723,399,60,38.5519098,-121.4417291,0
